[2020-04-03 14:49:47,555]: ---mrmd 2.0 start----
[2020-04-03 14:50:03,366]: ANOVA start...
[2020-04-03 14:50:03,389]: ANOVA end.
[2020-04-03 14:50:03,389]: mic start...
[2020-04-03 14:50:04,295]: mic end.
[2020-04-03 14:50:04,295]: mrmd start...
[2020-04-03 14:50:04,825]: mrmd end.
[2020-04-03 14:50:04,825]: mRMR start...
[2020-04-03 14:50:14,093]: mRMR end.
[2020-04-03 14:50:14,093]: lasso start...
[2020-04-03 14:50:14,222]: lasso end.
[2020-04-03 14:50:14,223]: chi2 start...
[2020-04-03 14:50:14,320]: chi2 end.
[2020-04-03 14:50:14,320]: ref start...
[2020-04-03 14:50:23,542]: ref end.
[2020-04-03 14:50:23,548]: rank start ...
[2020-04-03 14:50:23,565]: The final  rank is
[2020-04-03 14:50:23,566]: CHOC760101.lag29 : 0.0048
[2020-04-03 14:50:23,566]: CHAM820102.lag11 : 0.0047
[2020-04-03 14:50:23,566]: CHOC760101.lag13 : 0.0047
[2020-04-03 14:50:23,566]: CHAM820101.lag25 : 0.0047
[2020-04-03 14:50:23,566]: DAYM780201.lag24 : 0.0046
[2020-04-03 14:50:23,566]: CIDH920105.lag2 : 0.0046
[2020-04-03 14:50:23,566]: CIDH920105.lag1 : 0.0046
[2020-04-03 14:50:23,566]: BIGC670101.lag7 : 0.0046
[2020-04-03 14:50:23,566]: CHAM820101.lag1 : 0.0046
[2020-04-03 14:50:23,566]: BIGC670101.lag3 : 0.0046
[2020-04-03 14:50:23,566]: CHAM820102.lag17 : 0.0046
[2020-04-03 14:50:23,566]: CHAM810101.lag17 : 0.0046
[2020-04-03 14:50:23,566]: BHAR880101.lag29 : 0.0046
[2020-04-03 14:50:23,566]: CHAM820101.lag4 : 0.0046
[2020-04-03 14:50:23,566]: DAYM780201.lag4 : 0.0046
[2020-04-03 14:50:23,567]: CHAM810101.lag16 : 0.0046
[2020-04-03 14:50:23,567]: CIDH920105.lag7 : 0.0046
[2020-04-03 14:50:23,567]: CIDH920105.lag8 : 0.0046
[2020-04-03 14:50:23,567]: BHAR880101.lag12 : 0.0046
[2020-04-03 14:50:23,567]: CHAM820102.lag30 : 0.0045
[2020-04-03 14:50:23,567]: CIDH920105.lag5 : 0.0045
[2020-04-03 14:50:23,567]: CHOC760101.lag15 : 0.0045
[2020-04-03 14:50:23,567]: CHAM820101.lag2 : 0.0045
[2020-04-03 14:50:23,567]: DAYM780201.lag13 : 0.0045
[2020-04-03 14:50:23,567]: CHAM820101.lag23 : 0.0045
[2020-04-03 14:50:23,567]: DAYM780201.lag15 : 0.0045
[2020-04-03 14:50:23,567]: CHAM810101.lag10 : 0.0045
[2020-04-03 14:50:23,567]: CHAM820102.lag4 : 0.0045
